DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Part Status,Function,Output Configuration,Topology,Output Type,Number of Outputs,Voltage - Input (Min),Voltage - Input (Max),Voltage - Output (Min/Fixed),Voltage - Output (Max),Current - Output,Frequency - Switching,Synchronous Rectifier,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
LM2852XMXA-3.3/NOPB-ND,LM2852XMXA-3.3/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 2A 14HTSSOP,400,5.1,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,2.85V,5.5V,3.3V,-,2A,1.5MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
LM2852XMXA-2.5/NOPB-ND,LM2852XMXA-2.5/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 2.5V 2A 14HTSSOP,291,5.1,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,2.85V,5.5V,2.5V,-,2A,1.5MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
296-LM2852YMXA-1.2/NOPB-ND,LM2852YMXA-1.2/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.2V 2A 14HTSSOP,237,5.1,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,2.85V,5.5V,1.2V,-,2A,500kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
LM2852XMXA-1.8/NOPB-ND,LM2852XMXA-1.8/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.8V 2A 14HTSSOP,355,5.11,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,2.85V,5.5V,1.8V,-,2A,1.5MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
MAXM15464AMB+-ND,MAXM15464AMB+,Analog Devices Inc./Maxim Integrated,Analog Devices Inc./Maxim Integrated,MOD DCDC CONVERTER 5V 10USLIC,197,5.88,0,1,Tray,Himalaya,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,42V,5V,-,300mA,500kHz,Yes,-40°C ~ 125°C (TA),Surface Mount,10-SMD Module,10-eMGA (3x2.6)
LM2853MH-3.3/NOPB-ND,LM2853MH-3.3/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 3A 14HTSSOP,695,5.96,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,3V,5.5V,3.3V,-,3A,550kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
296-12684-5-ND,TPS54316PWP,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 3A 20HTSSOP,797,6.45,0,1,Tube,SWIFT™,Active,Step-Down,Positive,Buck,Fixed,1,3V,6V,3.3V,-,3A,"350kHz, 550kHz",Yes,-40°C ~ 85°C (TA),Surface Mount,"20-PowerTSSOP (0.173"", 4.40mm Width)",20-HTSSOP
296-12681-5-ND,TPS54313PWP,Texas Instruments,Texas Instruments,IC REG BUCK 1.5V 3A 20HTSSOP,251,6.45,0,1,Tube,SWIFT™,Active,Step-Down,Positive,Buck,Fixed,1,3V,6V,1.5V,-,3A,"350kHz, 550kHz",Yes,-40°C ~ 85°C (TA),Surface Mount,"20-PowerTSSOP (0.173"", 4.40mm Width)",20-HTSSOP
LTC3631EMS8E-5#PBF-ND,LTC3631EMS8E-5#PBF,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 5V 100MA 8MSOP,584,7.92,0,1,Tube,-,Active,Step-Down,Positive or Negative,Buck,Fixed,1,4.5V,45V,5V,-,100mA,-,Yes,-40°C ~ 125°C (TJ),Surface Mount,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad",8-MSOP-EP
"SC4626ASKTR-ND,SC4626ASKCT-ND,SC4626ASKDKR-ND",SC4626ASKTRT,Semtech Corporation,Semtech Corporation,IC REG BUCK 1V 1A SOT23-5,"7,775",1.15,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.9V,5.5V,1V,-,1A,2.5MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"SC-74A, SOT-753",SOT-23-5
"1662-3382-2-ND,1662-3382-1-ND,1662-3382-6-ND",S-85S0AB18-I6T1U,ABLIC Inc.,ABLIC Inc.,IC REG BUCK 1.8V 50MA SNT-6A,"5,687",1.69,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",S-85S0A,Active,Step-Down,Positive,Buck,Fixed,1,2.2V,5.5V,1.8V,-,50mA,-,Yes,-40°C ~ 85°C (TA),Surface Mount,"6-SMD, Flat Leads",SNT-6A
"893-1300-2-ND,893-1300-1-ND,893-1300-6-ND",XC9265A3014R-G,Torex Semiconductor Ltd,Torex Semiconductor Ltd,IC REG BUCK 3V 200MA 6USPEL,"5,092",1.53,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2V,6V,3V,-,200mA,-,Yes,-40°C ~ 85°C (TA),Surface Mount,6-XDFN Exposed Pad,6-USPEL (1.8x2)
"893-1117-2-ND,893-1117-1-ND,893-1117-6-ND",XC9236A18CMR-G,Torex Semiconductor Ltd,Torex Semiconductor Ltd,IC REG BUCK 1.8V 600MA SOT25,"6,010",1.88,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2V,6V,1.8V,-,600mA,1.2MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"SC-74A, SOT-753",SOT-25-5
"296-LM3679UR-1.8/NOPBTR-ND,296-LM3679UR-1.8/NOPBCT-ND,296-LM3679UR-1.8/NOPBDKR-ND",LM3679UR-1.8/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.8V 350MA 5DSBGA,"1,490",1.58,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.5V,5.5V,1.8V,-,350mA,3MHz,Yes,-30°C ~ 85°C (TA),Surface Mount,5-XFBGA,5-DSBGA (1.47x1.02)
"296-TPS626751YFDTTR-ND,296-TPS626751YFDTCT-ND,296-TPS626751YFDTDKR-ND",TPS626751YFDT,Texas Instruments,Texas Instruments,IC REG BUCK 1.2V 650MA 6DSBGA,"3,346",1.57,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.3V,4.8V,1.2V,-,650mA,6MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"6-XFBGA, DSBGA",6-DSBGA
"296-27318-2-ND,296-27318-1-ND,296-27318-6-ND",TPS622313DRYT,Texas Instruments,Texas Instruments,IC REG BUCK 1.3V 500MA 6SON,"1,370",1.61,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.05V,6V,1.3V,-,500mA,3MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,6-UFDFN,6-SON (1.45x1)
"ADP2138ACBZ-1.0-R7TR-ND,ADP2138ACBZ-1.0-R7CT-ND,ADP2138ACBZ-1.0-R7DKR-ND",ADP2138ACBZ-1.0-R7,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 1V 800MA 6WLCSP,"14,750",3.1,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.3V,5.5V,1V,-,800mA,3MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"6-UFBGA, WLCSP",6-WLCSP (1.03x1.50)
"ADP2120ACPZ-3.3-R7TR-ND,ADP2120ACPZ-3.3-R7CT-ND,ADP2120ACPZ-3.3-R7DKR-ND",ADP2120ACPZ-3.3-R7,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 3.3V 1.25A 10LFCSP,"1,690",3.17,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.3V,5.5V,3.3V,-,1.25A,1.2MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"10-VFDFN Exposed Pad, CSP",10-LFCSP-WD (3x3)
"296-12288-2-ND,296-12288-1-ND,296-12288-6-ND",TPS54616PWPR,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 6A 28HTSSOP,"2,149",3.81,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",SWIFT™,Active,Step-Down,Positive,Buck,Fixed,1,3V,6V,3.3V,-,6A,"350kHz, 550kHz",Yes,-40°C ~ 125°C (TJ),Surface Mount,"28-PowerTSSOP (0.173"", 4.40mm Width)",28-HTSSOP
"846-BD99011EFV-ME2TR-ND,846-BD99011EFV-ME2CT-ND,846-BD99011EFV-ME2DKR-ND",BD99011EFV-ME2,Rohm Semiconductor,Rohm Semiconductor,IC REG BUCK 5V 2A 24HTSSOP-B,"2,000",5.34,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Automotive, AEC-Q100",Active,Step-Down,Positive,Buck,Fixed,1,3.6V,35V,5V,-,2A,200kHz ~ 500kHz,Yes,-40°C ~ 105°C (TA),Surface Mount,"24-VSSOP (0.220"", 5.60mm Width) Exposed Pad",24-HTSSOP-B
497-19083-ND,L6986H5V,STMicroelectronics,STMicroelectronics,POWER MANAGEMENT,809,3.55,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,4V,38V,5V,-,2A,250kHz ~ 2MHz,Yes,-40°C ~ 150°C (TJ),Surface Mount,"16-PowerTSSOP (0.173"", 4.40mm Width)",16-HTSSOP
497-19082-ND,L6986H3V3,STMicroelectronics,STMicroelectronics,POWER MANAGEMENT,764,3.55,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,4V,38V,3.3V,-,2A,250kHz ~ 2MHz,Yes,-40°C ~ 150°C (TJ),Surface Mount,"16-PowerTSSOP (0.173"", 4.40mm Width)",16-HTSSOP
497-15937-5-ND,A6986F5V,STMicroelectronics,STMicroelectronics,IC REG BUCK 5V 1.5A 16HTSSOP,489,3.7,0,1,Tube,"Automotive, AEC-Q100",Active,Step-Down,Positive,Buck,Fixed,1,4V,38V,5V,-,1.5A,250kHz ~ 2MHz,Yes,-40°C ~ 150°C (TJ),Surface Mount,"16-TSSOP (0.173"", 4.40mm Width) Exposed Pad",16-HTSSOP
MAX1928EUB15+-ND,MAX1928EUB15+,Analog Devices Inc./Maxim Integrated,Analog Devices Inc./Maxim Integrated,IC REG BUCK 1.5V 800MA 10UMAX,600,4.16,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,2.6V,5.5V,1.5V,-,800mA,800kHz ~ 1.2MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",10-uMAX/uSOP
296-41562-5-ND,LM2852XMXA-1.0/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1V 2A 14HTSSOP,130,4.29,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,2.85V,5.5V,1V,-,2A,1.5MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
MAX17682ATP+-ND,MAX17682ATP+,Analog Devices Inc./Maxim Integrated,Analog Devices Inc./Maxim Integrated,IC REG BUCK 5V 3.7A 20TQFN,"1,439",4.43,0,1,Tube,-,Active,Step-Down,"Positive, Isolation Capable",Buck,Fixed,1,4.5V,42V,5V,-,3.7A,100kHz ~ 500kHz,Yes,-40°C ~ 125°C (TA),Surface Mount,20-WFQFN Exposed Pad,20-TQFN (4x4)
296-17074-ND,TPS54357PWP,Texas Instruments,Texas Instruments,IC REG BUCK 5V 3A 16HTSSOP,772,4.57,0,1,Tube,SWIFT™,Active,Step-Down,Positive,Buck,Fixed,1,6.65V,20V,5V,-,3A,"250kHz, 500kHz",Yes,-40°C ~ 85°C (TA),Surface Mount,"16-PowerTSSOP (0.173"", 4.40mm Width)",16-HTSSOP
296-12127-5-ND,TPS54614PWP,Texas Instruments,Texas Instruments,IC REG BUCK 1.8V 6A 28HTSSOP,200,4.57,0,1,Tube,SWIFT™,Active,Step-Down,Positive,Buck,Fixed,1,3V,6V,1.8V,-,6A,"350kHz, 550kHz",Yes,-40°C ~ 125°C (TJ),Surface Mount,"28-PowerTSSOP (0.173"", 4.40mm Width)",28-HTSSOP
296-12125-5-ND,TPS54612PWP,Texas Instruments,Texas Instruments,IC REG BUCK 1.2V 6A 28HTSSOP,153,4.57,0,1,Tube,SWIFT™,Active,Step-Down,Positive,Buck,Fixed,1,3V,6V,1.2V,-,6A,"350kHz, 550kHz",Yes,-40°C ~ 125°C (TJ),Surface Mount,"28-PowerTSSOP (0.173"", 4.40mm Width)",28-HTSSOP
296-12126-5-ND,TPS54613PWP,Texas Instruments,Texas Instruments,IC REG BUCK 1.5V 6A 28HTSSOP,125,4.57,0,1,Tube,SWIFT™,Active,Step-Down,Positive,Buck,Fixed,1,3V,6V,1.5V,-,6A,"350kHz, 550kHz",Yes,-40°C ~ 125°C (TJ),Surface Mount,"28-PowerTSSOP (0.173"", 4.40mm Width)",28-HTSSOP
175-MAX17634AATP+-ND,MAX17634AATP+,Analog Devices Inc./Maxim Integrated,Analog Devices Inc./Maxim Integrated,IC REG BUCK ADJ 4.25A,753,4.58,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,36V,3.3V,-,4.25A,400kHz ~ 2.2MHz,Yes,-40°C ~ 125°C (TA),Surface Mount,20-WFQFN Exposed Pad,20-TQFN (4x4)
LM2651MTC-3.3/NOPB-ND,LM2651MTC-3.3/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 1.5A 16TSSOP,824,4.77,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,4V,14V,3.3V,-,1.5A,300kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"16-TSSOP (0.173"", 4.40mm Width)",16-TSSOP
LM2852YMXA-1.8/NOPB-ND,LM2852YMXA-1.8/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.8V 2A 14HTSSOP,463,5.1,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,2.85V,5.5V,1.8V,-,2A,500kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
"2156-LM2852YMXA-2.5/NOPB-TI-ND,LM2852YMXA-2.5/NOPB-ND",LM2852YMXA-2.5/NOPB,Texas Instruments,"Rochester Electronics, LLC,Texas Instruments",IC REG BUCK 2.5V 2A 14HTSSOP,0,5.1,0,1,"Bulk,Tube",SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,2.85V,5.5V,2.5V,-,2A,500kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
LM2853MH-1.2/NOPB-ND,LM2853MH-1.2/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.2V 3A 14HTSSOP,"2,831",5.96,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,3V,5.5V,1.2V,-,3A,550kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
LM2853MH-1.0/NOPB-ND,LM2853MH-1.0/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1V 3A 14HTSSOP,376,5.96,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,3V,5.5V,1V,-,3A,550kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
LM2853MH-1.8/NOPB-ND,LM2853MH-1.8/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.8V 3A 14HTSSOP,250,5.96,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,3V,5.5V,1.8V,-,3A,550kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
MAX16956AUBD/V+-ND,MAX16956AUBD/V+,Analog Devices Inc./Maxim Integrated,Analog Devices Inc./Maxim Integrated,IC REG BUCK 5V 300MA 10UMAX,254,6.31,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,3.5V,36V,5V,-,300mA,2.1MHz,Yes,-40°C ~ 125°C (TA),Surface Mount,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width) Exposed Pad",10-uMAX-EP
LTC3621EMS8E-23.3#PBF-ND,LTC3621EMS8E-23.3#PBF,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 3.3V 1A 8MSOP,129,6.89,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,2.7V,17V,3.3V,-,1A,2.25MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad",8-MSOP-EP
LTC3624EMSE-3.3#PBF-ND,LTC3624EMSE-3.3#PBF,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 3.3V 2A 12MSOP,449,7.92,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,2.7V,17V,3.3V,-,2A,1MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"12-TSSOP (0.118"", 3.00mm Width) Exposed Pad",12-MSOP-EP
"1662-3338-2-ND,1662-3338-1-ND,1662-3338-6-ND",S-85V1AB12-I6T1U,ABLIC Inc.,ABLIC Inc.,IC REG SNT-6A,"5,000",1.49,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.2V,5.5V,1.2V,-,200mA,1MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"6-SMD, Flat Leads",SNT-6A
"1662-3339-2-ND,1662-3339-1-ND,1662-3339-6-ND",S-85V1AB30-I6T1U,ABLIC Inc.,ABLIC Inc.,IC REG SNT-6A,"5,000",1.49,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.2V,5.5V,3V,-,200mA,1MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"6-SMD, Flat Leads",SNT-6A
"893-1360-2-ND,893-1360-1-ND,893-1360-6-ND",XC9272B0714R-G,Torex Semiconductor Ltd,Torex Semiconductor Ltd,IC REG BUCK 0.7V 50MA 6USPEL,"3,000",1.49,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Not For New Designs,Step-Down,Positive,Buck,Fixed,1,2V,6V,0.7V,-,50mA,-,Yes,-40°C ~ 85°C (TA),Surface Mount,6-XDFN Exposed Pad,6-USPEL (1.8x2)
"1662-3354-2-ND,1662-3354-1-ND,1662-3354-6-ND",S-85S0AB09-I6T1U,ABLIC Inc.,ABLIC Inc.,IC REG BUCK 0.9V 50MA SNT-6A,"5,000",1.69,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",S-85S0A,Active,Step-Down,Positive,Buck,Fixed,1,2.2V,5.5V,0.9V,-,50mA,-,Yes,-40°C ~ 85°C (TA),Surface Mount,"6-SMD, Flat Leads",SNT-6A
"576-3245-2-ND,576-3245-1-ND,576-3245-6-ND",MIC23031-CYMT-TR,Microchip Technology,Microchip Technology,IC REG BUCK 1V 400MA 6TMLF,"5,849",0.93,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",HyperLight Load®,Active,Step-Down,Positive,Buck,Fixed,1,2.7V,5.5V,1V,-,400mA,4MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"6-UFDFN Exposed Pad, 6-TMLF®",6-TMLF® (1.6x1.6)
"1662-3367-2-ND,1662-3367-1-ND,1662-3367-6-ND",S-85S1PC12-I8T1U,ABLIC Inc.,ABLIC Inc.,IC REG BUCK 1.2V 200MA SNT-8A,"5,000",1.9,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",S-85S1PC,Active,Step-Down,Positive,Buck,Fixed,1,2.2V,5.5V,1.2V,-,200mA,1MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"8-SMD, Flat Lead",SNT-8A
"1662-3372-2-ND,1662-3372-1-ND,1662-3372-6-ND",S-85S1PD12-I8T1U,ABLIC Inc.,ABLIC Inc.,IC REG BUCK 1.2V 200MA SNT-8A,"5,000",1.9,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",S-85S1PD,Active,Step-Down,Positive,Buck,Fixed,1,2.2V,5.5V,1.2V,-,200mA,1MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"8-SMD, Flat Lead",SNT-8A
"1662-3375-2-ND,1662-3375-1-ND,1662-3375-6-ND",S-85S1PD23-I8T1U,ABLIC Inc.,ABLIC Inc.,IC REG BUCK 2.3V 200MA SNT-8A,"5,000",1.9,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",S-85S1PD,Active,Step-Down,Positive,Buck,Fixed,1,2.2V,5.5V,2.3V,-,200mA,1MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"8-SMD, Flat Lead",SNT-8A
"1589-MPQ4432GL-PTR-ND,1589-MPQ4432GL-PCT-ND,1589-MPQ4432GL-PDKR-ND",MPQ4432GL-P,Monolithic Power Systems Inc.,Monolithic Power Systems Inc.,IC REG IND GRADE 36V 2.2A LOW,500,4.1,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,3.3V,36V,"3.3V, 3.8V, 5V",-,2.2A,350kHz ~ 2.5MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,16-PowerVQFN,16-QFN (3x4)
"LTC3620EDC-1#TRMPBFTR-ND,LTC3620EDC-1#TRMPBFCT-ND,LTC3620EDC-1#TRMPBFDKR-ND",LTC3620EDC-1#TRMPBF,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 1.1V 15MA 8DFN,671,5.87,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.9V,5.5V,1.1V,-,15mA,50kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,8-WFDFN Exposed Pad,8-DFN (2x2)
497-19079-ND,A6986H3V3,STMicroelectronics,STMicroelectronics,POWER MANAGEMENT,"1,000",4.04,0,1,Tube,"Automotive, AEC-Q100",Active,Step-Down,Positive,Buck,Fixed,1,4V,38V,3.3V,-,2A,250kHz ~ 2MHz,Yes,-40°C ~ 150°C (TJ),Surface Mount,"16-PowerTSSOP (0.173"", 4.40mm Width)",16-HTSSOP
497-19080-ND,A6986H5V,STMicroelectronics,STMicroelectronics,POWER MANAGEMENT,990,4.04,0,1,Tube,"Automotive, AEC-Q100",Active,Step-Down,Positive,Buck,Fixed,1,4V,38V,5V,-,2A,250kHz ~ 2MHz,Yes,-40°C ~ 150°C (TJ),Surface Mount,"16-PowerTSSOP (0.173"", 4.40mm Width)",16-HTSSOP
LM2852YMXA-1.5/NOPB-ND,LM2852YMXA-1.5/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.5V 2A 14HTSSOP,226,5.1,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,2.85V,5.5V,1.5V,-,2A,500kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
MAX1952ESA+-ND,MAX1952ESA+,Analog Devices Inc./Maxim Integrated,Analog Devices Inc./Maxim Integrated,IC REG BUCK 1.8V 2A 8SOIC,266,5.38,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,2.6V,5.5V,1.8V,-,2A,800kHz ~ 1.1MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SOIC
LM2853MH-1.5/NOPB-ND,LM2853MH-1.5/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.5V 3A 14HTSSOP,360,5.96,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,3V,5.5V,1.5V,-,3A,550kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
2156-FAN53501AUCX-ND,FAN53501AUCX,Fairchild Semiconductor,"Rochester Electronics, LLC",SWITCHING REGULATOR,"12,000",0.17,0,1803,Bulk,-,Active,Step-Down,Positive,Buck,Fixed,1,2.7V,5.5V,1.82V,-,600mA,3MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"5-UFBGA, WLCSP",5-WLCSP (0.96x1.33)
2156-MIC24085FYML-TX-ND,MIC24085FYML-TX,Micrel Inc.,"Rochester Electronics, LLC","18V, 3A, 1MHZ, HIGH-PERFORMANCE,","99,698",0.2,0,1519,Bulk,-,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,18V,5V,-,3A,1MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,16-VFQFN Exposed Pad,16-QFN (3x3)
2156-MIC24085CYML-TX-ND,MIC24085CYML-TX,Micrel Inc.,"Rochester Electronics, LLC","18V, 3A, 1MHZ, HIGH-PERFORMANCE,","51,000",0.2,0,1519,Bulk,-,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,18V,1.8V,-,3A,1MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,16-VFQFN Exposed Pad,16-QFN (3x3)
2156-MIC24085DYML-TX-ND,MIC24085DYML-TX,Micrel Inc.,"Rochester Electronics, LLC","18V, 3A, 1MHZ, HIGH-PERFORMANCE,","46,300",0.2,0,1519,Bulk,-,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,18V,2.5V,-,3A,1MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,16-VFQFN Exposed Pad,16-QFN (3x3)
2156-MIC24085BYML-TX-ND,MIC24085BYML-TX,Micrel Inc.,"Rochester Electronics, LLC","18V, 3A, 1MHZ, HIGH-PERFORMANCE,","34,308",0.2,0,1519,Bulk,-,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,18V,1.5V,-,3A,1MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,16-VFQFN Exposed Pad,16-QFN (3x3)
2156-FAN5358S718X-FSTR-ND,FAN5358S718X,Fairchild Semiconductor,"Rochester Electronics, LLC","SWITCHING REGLTR, VOLTAGE-MODE","594,534",0.31,0,962,Bulk,-,Obsolete,Step-Down,Positive,Buck,Fixed,1,2.7V,5.5V,1.8V,-,500mA,2MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"6-TSSOP, SC-88, SOT-363",SC-88 (SC-70-6)
